-a	-M/REM
-š-ad	-SUBJ-3PL
-š-am-i	-SUBJ-1SG-PRES
-š-ēk	-SUBJ-2SG
-š-ī	-SUBJ-2SG
-š-ar-i	-SUBJ-3SG-PRES
-š-an-i	-SUBJ-1PL-PRES
-š-as-i	-SUBJ-2PL-PRES
-š-and-i	-SUBJ-3PL-PRES
-š-ad-i	-SUBJ-3PL-PRES
-š-am-a	-SUBJ-1SG-REM
-š-ēy-a	-SUBJ-2SG-REM
-š-ar-a	-SUBJ-3SG-REM
-š-an-a	-SUBJ-1PL-REM
-š-as-a	-SUBJ-2PL-REM
-š-and-a	-SUBJ-3PL-REM
-š-ad-a	-SUBJ-3PL-REM
-ōš-am	-SUBJ-1SG
-ōš-ar	-SUBJ-3SG
-ōš-an	-SUBJ-1PL
-ōš-as	-SUBJ-2PL
-ōš-and	-SUBJ-3PL
-ōš-ad	-SUBJ-3PL
-ōš-am-i	-SUBJ-1SG-PRES
-ōš-ēk	-SUBJ-2SG
-ōš-ī	-SUBJ-2SG
-ōš-ar-i	-SUBJ-3SG-PRES
-ōš-an-i	-SUBJ-1PL-PRES
-ōš-as-i	-SUBJ-2PL-PRES
-ōš-and-i	-SUBJ-3PL-PRES
-ōš-ad-i	-SUBJ-3PL-PRES
-ōš-am-a	-SUBJ-1SG-REM
-ōš-ēy-a	-SUBJ-2SG-REM
-ōš-ar-a	-SUBJ-3SG-REM
-ōš-an-a	-SUBJ-1PL-REM
-ōš-as-a	-SUBJ-2PL-REM
-ōš-and-a	-SUBJ-3PL-REM
-ōš-ad-a	-SUBJ-3PL-REM
-h-ōš-am	-VITR-SUBJ-1SG
-h-ōš-ar	-VITR-SUBJ-3SG
-h-ōš-an	-VITR-SUBJ-1PL
-h-ōš-as	-VITR-SUBJ-2PL
-h-ōš-and	-VITR-SUBJ-3PL
-h-ōš-ad	-VITR-SUBJ-3PL
-h-ōš-am-i	-VITR-SUBJ-1SG-PRES
-h-ōš-ēk	-VITR-SUBJ-2SG
-h-ōš-ī	-VITR-SUBJ-2SG
-h-ōš-ar-i	-VITR-SUBJ-3SG-PRES
-h-ōš-an-i	-VITR-SUBJ-1PL-PRES
-h-ōš-as-i	-VITR-SUBJ-2PL-PRES
-h-ōš-and-i	-VITR-SUBJ-3PL-PRES
-h-ōš-ad-i	-VITR-SUBJ-3PL-PRES
-h-ōš-am-a	-VITR-SUBJ-1SG-REM
-h-ōš-ēy-a	-VITR-SUBJ-2SG-REM
-h-ōš-ar-a	-VITR-SUBJ-3SG-REM
-h-ōš-an-a	-VITR-SUBJ-1PL-REM
-h-ōš-as-a	-VITR-SUBJ-2PL-REM
-h-ōš-and-a	-VITR-SUBJ-3PL-REM
-h-ōš-ad-a	-VITR-SUBJ-3PL-REM
-om	-1SG
-ok	-2SG
-or	-3SG
-on	-1PL
-os	-2PL/3SG
-od	-3PL
-ond	-3PL
-om-i	-1SG-PRES
-ok	-2SG
-or-i	-SUBJ-3SG-PRES
-on-i	-SUBJ-1PL-PRES
-os-i	-SUBJ-2PL-PRES
-od-i	-SUBJ-3PL-PRES
-ond-i	-SUBJ-3PL-PRES
-om-a	-SUBJ-1SG-REM
-or-a	-SUBJ-3SG-REM
-on-a	-SUBJ-1PL-REM
-os-a	-SUBJ-2PL-REM
-ond-a	-SUBJ-3PL-REM
-od-a	-SUBJ-3PL-REM
-om-ir	-1SG-2SG
-om-is	-1SG-3SG
-om-man	-1SG-1PL
-om-ran	-1SG-2PL
-om-san	-1SG-3PL
-oy-m	-2SG-1SG
-oy-s	-2SG-3SG
-o-man	-2SG-1PL
-o-ran	-2SG-2PL
-o-san	-2SG-3PL
-or-im	-3SG-1SG
-or-ir	-3SG-2SG
-or-is	-3SG-3SG
-or-man	-3SG-1PL
-or-ran	-3SG-2PL
-or-san	-3SG-3PL
-on-im	-1PL-1SG
-on-ir	-1PL-2SG
-on-is	-1PL-3SG
-on-ran	-1PL-2PL
-on-san	-1PL-3PL
-os-im	-2PL-1SG
-os-ir	-2PL-2SG
-os-is	-2PL-3SG
-os-man	-2PL-1PL
-os-ran	-2PL-2PL
-os-san	-2PL-3PL
-od-im	-3PL-1SG
-od-ir	-3PL-2SG
-od-is	-3PL-3SG
-od-man	-3PL-1PL
-od-ran	-3PL-2PL
-od-san	-3PL-3PL
-om-r-i	-1SG-2SG-PRES
-om-s-i	-1SG-3SG-PRES
-om-man-i	-1SG-1PL-PRES
-om-ran-i	-1SG-2PL-PRES
-om-san-i	-1SG-3PL
-o-m-i	-2SG-1SG
-o-s-i	-2SG-3SG
-o-man-i	-2SG-1PL
-o-ran-i	-2SG-2PL
-o-san-i	-2SG-3PL
-or-m-i	-3SG-1SG
-or-r-i	-3SG-2SG
-or-s-i	-3SG-3SG
-or-man-i	-3SG-1PL
-or-ran-i	-3SG-2PL
-or-san-i	-3SG-3PL
-on-m-i	-1PL-1SG
-on-r-i	-1PL-2SG
-on-s-i	-1PL-3SG
-on-ran-i	-1PL-2PL
-on-san-i	-1PL-3PL
-os-m-i	-2PL-1SG
-os-r-i	-2PL-2SG
-os-s-i	-2PL-3SG
-os-man-i	-2PL-1PL
-os-ran-i	-2PL-2PL
-os-san-i	-2PL-3PL
-od-m-i	-3PL-1SG
-od-r-i	-3PL-2SG
-od-s-i	-3PL-3SG
-od-man-i	-3PL-1PL
-od-ran-i	-3PL-2PL
-od-san-i	-3PL-3PL
-om-ir-a	-1SG-2SG-REM
-om-is-a	-1SG-3SG-REM
-om-man-a	-1SG-1PL-REM
-om-ran-a	-1SG-2PL-REM
-om-san-a	-1SG-3PL-REM
-o-m-a	-2SG-1SG-REM
-o-s-a	-2SG-3SG-REM
-o-man-a	-2SG-1PL-REM
-o-ran-a	-2SG-2PL-REM
-o-san-a	-2SG-3PL-REM
-or-m-a	-3SG-1SG-REM
-or-r-a	-3SG-2SG-REM
-or-s-a	-3SG-3SG-REM
-or-man-a	-3SG-1PL-REM
-or-ran-a	-3SG-2PL-REM
-or-san-a	-3SG-3PL-REM
-on-m-a	-1PL-1SG-REM
-on-r-a	-1PL-2SG-REM
-on-s-a	-1PL-3SG-REM
-on-ran-a	-1PL-2PL-REM
-on-san-a	-1PL-3PL-REM
-os-m-a	-2PL-1SG-REM
-os-r-a	-2PL-2SG-REM
-os-s-a	-2PL-3SG-REM
-os-man-a	-2PL-1PL-REM
-os-ran-a	-2PL-2PL-REM
-os-san-a	-2PL-3PL-REM
-od-m-a	-3PL-1SG-REM
-od-r-a	-3PL-2SG-REM
-od-s-a	-3PL-3SG-REm
-od-man-a	-3PL-1PL-REM
-od-ran-a	-3PL-2PL-REM
-od-san-a	-3PL-3PL-REM
de	give.2SG
de-m	give-1SG
de-r	give-3SG
de-n	give-1PL
de-s	give-2PL
de-d	give-3PL
de-nd	give-3PL
de-m-i	give-1SG-PRES
de-r-i	give-3SG-PRES
de-n-i	give-1PL-PRES
de-s-i	give-2PL-PRES
de-d-i	give-3PL-PRES
de-nd-i	give-3PL-PRES
de-m-a	give-1SG-REM
de-y-a	give-2SG-REM
de-r-a	give-3SG-REM
de-n-a	give-1PL-REM
de-s-a	give-2PL-REM
de-d-a	give-3PL-REM
de-nd-a	give-3PL-REM
de-m-ir	give-1SG-2SG
de-m-is	give-1SG-3SG
de-m-man	give-1SG-1PL
de-m-ran	give-1SG-2PL
de-m-san	give-1SG-3PL
de-r-im	give-3SG-1SG
de-r-ir	give-3SG-2SG
de-r-is	give-3SG-3SG
de-r-man	give-3SG-1PL
de-r-ran	give-3SG-2PL
de-r-san	give-3SG-3PL
de-n-im	give-1PL-1SG
de-n-ir	give-1PL-2SG
de-n-is	give-1PL-3SG
de-n-ran	give-1PL-2PL
de-n-san	give-1PL-3PL
de-s-im	give-2PL-1SG
de-s-ir	give-2PL-2SG
de-s-is	give-2PL-3SG
de-s-man	give-2PL-1PL
de-s-ran	give-2PL-2PL
de-s-san	give-2PL-3PL
de-d-im	give-3PL-1SG
de-d-ir	give-3PL-2SG
de-d-is	give-3PL-3SG
de-d-man	give-3PL-1PL
de-d-ran	give-3PL-2PL
de-d-san	give-3PL-3PL
de-m-r-i	give-1SG-2SG-PRES
de-m-s-i	give-1SG-3SG-PRES
de-m-man-i	give-1SG-1PL-PRES
de-m-ran-i	give-1SG-2PL-PRES
de-m-san-i	give-1SG-3PL
de-r-m-i	give-3SG-1SG
de-r-r-i	give-3SG-2SG
de-r-s-i	give-3SG-3SG
de-r-man-i	give-3SG-1PL
de-r-ran-i	give-3SG-2PL
de-r-san-i	give-3SG-3PL
de-n-m-i	give-1PL-1SG
de-n-r-i	give-1PL-2SG
de-n-s-i	give-1PL-3SG
de-n-ran-i	give-1PL-2PL
de-n-san-i	give-1PL-3PL
de-s-m-i	give-2PL-1SG
de-s-r-i	give-2PL-2SG
de-s-s-i	give-2PL-3SG
de-s-man-i	give-2PL-1PL
de-s-ran-i	give-2PL-2PL
de-s-san-i	give-2PL-3PL
de-d-m-i	give-3PL-1SG
de-d-r-i	give-3PL-2SG
de-d-s-i	give-3PL-3SG
de-d-man-i	give-3PL-1PL
de-d-ran-i	give-3PL-2PL
de-d-san-i	give-3PL-3PL
de-m-ir-a	give-1SG-2SG-REM
de-m-is-a	give-1SG-3SG-REM
de-m-man-a	give-1SG-1PL-REM
de-m-ran-a	give-1SG-2PL-REM
de-m-san-a	give-1SG-3PL-REM
de-r-m-a	give-3SG-1SG-REM
de-r-r-a	give-3SG-2SG-REM
de-r-s-a	give-3SG-3SG-REM
de-r-man-a	give-3SG-1PL-REM
de-r-ran-a	give-3SG-2PL-REM
de-r-san-a	give-3SG-3PL-REM
de-n-m-a	give-1PL-1SG-REM
de-n-r-a	give-1PL-2SG-REM
de-n-s-a	give-1PL-3SG-REM
de-n-ran-a	give-1PL-2PL-REM
de-n-san-a	give-1PL-3PL-REM
de-s-m-a	give-2PL-1SG-REM
de-s-r-a	give-2PL-2SG-REM
de-s-s-a	give-2PL-3SG-REM
de-s-man-a	give-2PL-1PL-REM
de-s-ran-a	give-2PL-2PL-REM
de-s-san-a	give-2PL-3PL-REM
de-d-m-a	give-3PL-1SG-REM
de-d-r-a	give-3PL-2SG-REM
de-d-s-a	give-3PL-3SG-REm
de-d-man-a	give-3PL-1PL-REM
de-d-ran-a	give-3PL-2PL-REM
de-d-san-a	give-3PL-3PL-REM
-d-om	-PFV-1SG
-d-or	-PFV-2SG
-d-a	-PFV-3SG.M
-d-i	-PFV-3SG.F
-d-ēn	-PFV-1PL
-d-ēs	-PFV-2PL
-d-e	-PFV-3PL
-d-om-i	-PFV-1SG-PRES
-d-or-i	-PFV-2SG-PRES
-d-ēk	-PFV-PRED.SG.M
-d-ik	-PFV-PRES.SG.F
-d-ēn-i	-PFV-1PL-PRES
-d-ēs-i	-PFV-2PL-PRES
-d-ēd-i	-PFV-3PL-PRES
-d-om-a	-PFV-1SG-REM
-d-or-a	-PFV-2SG-REM
-d-ēy-a	-PFV-3SG.M-REM
-d-īy-a	-PFV-3SG.F-REM
-d-ēn-a	-PFV-1PL-REM
-d-ēs-a	-PFV-2PL-REM
-d-ēd-a	-PFV-3PL-REM
-d-om-ir	-PFV-1SG-2SG
-d-om-is	-PFV-1SG-3SG
-d-or-im	-PFV-2SG-1SG
-d-or-is	-PFV-2SG-3SG
-d-os-im	-PFV-3SG-1SG
-d-os-ir	-PFV-3SG-2SG
-d-os-is	-PFV-3SG-3SG
-d-ēn-im	-PFV-1PL-1SG
-d-ēn-ir	-PFV-1PL-2SG
-d-ēn-is	-PFV-1PL-3SG
-d-ēs-im	-PFV-2PL-1SG
-d-ēs-ir	-PFV-2PL-2SG
-d-ēs-is	-PFV-2PL-3SG
-d-ēd-im	-PFV-3PL-1SG
-d-ēd-ir	-PFV-3PL-2SG
-d-ēd-is	-PFV-3PL-3SG
-d-om-man	-PFV-1SG-1PL
-d-om-ran	-PFV-1SG-2PL
-d-om-san	-PFV-1SG-3PL
-d-or-man	-PFV-2SG-1PL
-d-or-ran	-PFV-2SG-1PL
-d-or-san	-PFV-2SG-3PL
-d-os-man	-PFV-3SG-1PL
-d-os-ran	-PFV-3SG-2PL
-d-os-san	-PFV-3SG-3PL
-d-ēn-man	-PFV-1PL-1PL
-d-ēn-ran	-PFV-1PL-2PL
-d-ēn-san	-PFV-1PL-3PL
-d-ēs-man	-PFV-2PL-1PL
-d-ēs-ran	-PFV-2PL-2PL
-d-ēs-san	-PFV-2PL-3PL
-d-ed-man	-PFV-3PL-1PL
-d-ed-ran	-PFV-3PL-2PL
-d-ed-san	-PFV-3PL-3PL
-d-om-r-i	-PFV-1SG-2SG-PRES
-d-om-s-i	-PFV-1SG-3SG-PRES
-d-or-m-i	-PFV-2SG-1SG-PRES
-d-or-s-i	-PFV-2SG-3SG-PRES
-d-os-m-i	-PFV-3SG-1SG-PRES
-d-os-r-i	-PFV-3SG-2SG-PRES
-d-os-s-i	-PFV-3SG-3SG-PRES
-d-ēn-m-i	-PFV-1PL-1SG-PRES
-d-ēn-r-i	-PFV-1PL-2SG-PRES
-d-ēn-s-i	-PFV-1PL-3SG-PRES
-d-ēs-m-i	-PFV-2PL-1SG-PRES
-d-ēs-r-i	-PFV-2PL-2SG-PRES
-d-ēs-s-i	-PFV-2PL-3SG-PRES
-d-ed-m-i	-PFV-3PL-1SG-PRES
-d-ed-r-i	-PFV-3PL-2SG-PRES
-d-ed-s-i	-PFV-3PL-3SG-PRES
-d-om-man-i	-PFV-1SG-1PL-PRES
-d-om-ran-i	-PFV-1SG-2PL-PRES
-d-om-san-i	-PFV-1SG-3PL-PRES
-d-or-man-i	-PFV-2SG-1PL-PRES
-d-or-ran-i	-PFV-2SG-1PL-PRES
-d-or-san-i	-PFV-2SG-3PL-PRES
-d-os-man-i	-PFV-3SG-1PL-PRES
-d-os-ran-i	-PFV-3SG-2PL-PRES
-d-os-san-i	-PFV-3SG-3PL-PRES
-d-ēn-man-i	-PFV-1PL-1PL-PRES
-d-ēn-ran-i	-PFV-1PL-2PL-PRES
-d-ēn-san-i	-PFV-1PL-3PL-PRES
-d-ēs-man-i	-PFV-2PL-1PL-PRES
-d-ēs-ran-i	-PFV-2PL-2PL-PRES
-d-ēs-san-i	-PFV-2PL-3PL-PRES
-d-ed-man-i	-PFV-3PL-1PL-PRES
-d-ed-ran-i	-PFV-3PL-2PL-PRES
-d-ed-san-i	-PFV-3PL-3PL-PRES
-d-om-r-a	-PFV-1SG-2SG-REM
-d-om-s-a	-PFV-1SG-3SG-REM
-d-or-m-a	-PFV-2SG-1SG-REM
-d-or-s-a	-PFV-2SG-3SG-REM
-d-os-m-a	-PFV-3SG-1SG-REM
-d-os-r-a	-PFV-3SG-2SG-REM
-d-os-s-a	-PFV-3SG-3SG-REM
-d-ēn-m-a	-PFV-1PL-1SG-REM
-d-ēn-r-a	-PFV-1PL-2SG-REM
-d-ēn-s-a	-PFV-1PL-3SG-REM
-d-ēs-m-a	-PFV-2PL-1SG-REM
-d-ēs-r-a	-PFV-2PL-2SG-REM
-d-ēs-s-a	-PFV-2PL-3SG-REM
-d-ed-m-a	-PFV-3PL-1SG-REM
-d-ed-r-a	-PFV-3PL-2SG-REM
-d-ed-s-a	-PFV-3PL-3SG-REM
-d-om-man-a	-PFV-1SG-1PL-REM
-d-om-ran-a	-PFV-1SG-2PL-REM
-d-om-san-a	-PFV-1SG-3PL-REM
-d-or-man-a	-PFV-2SG-1PL-REM
-d-or-ran-a	-PFV-2SG-1PL-REM
-d-or-san-a	-PFV-2SG-3PL-REM
-d-os-man-a	-PFV-3SG-1PL-REM
-d-os-ran-a	-PFV-3SG-2PL-REM
-d-os-san-a	-PFV-3SG-3PL-REM
-d-ēn-man-a	-PFV-1PL-1PL-REM
-d-ēn-ran-a	-PFV-1PL-2PL-REM
-d-ēn-san-a	-PFV-1PL-3PL-REM
-d-ēs-man-a	-PFV-2PL-1PL-REM
-d-ēs-ran-a	-PFV-2PL-2PL-REM
-d-ēs-san-a	-PFV-2PL-3PL-REM
-d-ed-man-a	-PFV-3PL-1PL-REM
-d-ed-ran-a	-PFV-3PL-2PL-REM
-d-ed-san-a	-PFV-3PL-3PL-REM
-id-om	-PFV-1SG
-id-or	-PFV-2SG
-id-a	-PFV-3SG.M
-id-i	-PFV-3SG.F
-id-ēn	-PFV-1PL
-id-ēs	-PFV-2PL
-id-e	-PFV-3PL
-id-om-i	-PFV-1SG-PRES
-id-or-i	-PFV-2SG-PRES
-id-ēk	-PFV-PRED.SG.M
-id-ik	-PFV-PRED.SG.F
-id-ēn-i	-PFV-1PL-PRES
-id-ēs-i	-PFV-2PL-PRES
-id-ēd-i	-PFV-3PL-PRES
-id-om-a	-PFV-1SG-REM
-id-or-a	-PFV-2SG-REM
-id-ēy-a	-PFV-3SG.M-REM
-id-īy-a	-PFV-3SG.F-REM
-id-ēn-a	-PFV-1PL-REM
-id-ēs-a	-PFV-2PL-REM
-id-ēd-a	-PFV-3PL-REM
-id-om-ir	-PFV-1SG-2SG
-id-om-is	-PFV-1SG-3SG
-id-or-im	-PFV-2SG-1SG
-id-or-is	-PFV-2SG-3SG
-id-os-im	-PFV-3SG-1SG
-id-os-ir	-PFV-3SG-2SG
-id-os-is	-PFV-3SG-3SG
-id-ēn-im	-PFV-1PL-1SG
-id-ēn-ir	-PFV-1PL-2SG
-id-ēn-is	-PFV-1PL-3SG
-id-ēs-im	-PFV-2PL-1SG
-id-ēs-ir	-PFV-2PL-2SG
-id-ēs-is	-PFV-2PL-3SG
-id-ēd-im	-PFV-3PL-1SG
-id-ēd-ir	-PFV-3PL-2SG
-id-ēd-is	-PFV-3PL-3SG
-id-om-man	-PFV-1SG-1PL
-id-om-ran	-PFV-1SG-2PL
-id-om-san	-PFV-1SG-3PL
-id-or-man	-PFV-2SG-1PL
-id-or-ran	-PFV-2SG-1PL
-id-or-san	-PFV-2SG-3PL
-id-os-man	-PFV-3SG-1PL
-id-os-ran	-PFV-3SG-2PL
-id-os-san	-PFV-3SG-3PL
-id-ēn-man	-PFV-1PL-1PL
-id-ēn-ran	-PFV-1PL-2PL
-id-ēn-san	-PFV-1PL-3PL
-id-ēs-man	-PFV-2PL-1PL
-id-ēs-ran	-PFV-2PL-2PL
-id-ēs-san	-PFV-2PL-3PL
-id-ed-man	-PFV-3PL-1PL
-id-ed-ran	-PFV-3PL-2PL
-id-ed-san	-PFV-3PL-3PL
-id-om-r-i	-PFV-1SG-2SG-PRES
-id-om-s-i	-PFV-1SG-3SG-PRES
-id-or-m-i	-PFV-2SG-1SG-PRES
-id-or-s-i	-PFV-2SG-3SG-PRES
-id-os-m-i	-PFV-3SG-1SG-PRES
-id-os-r-i	-PFV-3SG-2SG-PRES
-id-os-s-i	-PFV-3SG-3SG-PRES
-id-ēn-m-i	-PFV-1PL-1SG-PRES
-id-ēn-r-i	-PFV-1PL-2SG-PRES
-id-ēn-s-i	-PFV-1PL-3SG-PRES
-id-ēs-m-i	-PFV-2PL-1SG-PRES
-id-ēs-r-i	-PFV-2PL-2SG-PRES
-id-ēs-s-i	-PFV-2PL-3SG-PRES
-id-ed-m-i	-PFV-3PL-1SG-PRES
-id-ed-r-i	-PFV-3PL-2SG-PRES
-id-ed-s-i	-PFV-3PL-3SG-PRES
-id-om-man-i	-PFV-1SG-1PL-PRES
-id-om-ran-i	-PFV-1SG-2PL-PRES
-id-om-san-i	-PFV-1SG-3PL-PRES
-id-or-man-i	-PFV-2SG-1PL-PRES
-id-or-ran-i	-PFV-2SG-1PL-PRES
-id-or-san-i	-PFV-2SG-3PL-PRES
-id-os-man-i	-PFV-3SG-1PL-PRES
-id-os-ran-i	-PFV-3SG-2PL-PRES
-id-os-san-i	-PFV-3SG-3PL-PRES
-id-ēn-man-i	-PFV-1PL-1PL-PRES
-id-ēn-ran-i	-PFV-1PL-2PL-PRES
-id-ēn-san-i	-PFV-1PL-3PL-PRES
-id-ēs-man-i	-PFV-2PL-1PL-PRES
-id-ēs-ran-i	-PFV-2PL-2PL-PRES
-id-ēs-san-i	-PFV-2PL-3PL-PRES
-id-ed-man-i	-PFV-3PL-1PL-PRES
-id-ed-ran-i	-PFV-3PL-2PL-PRES
-id-ed-san-i	-PFV-3PL-3PL-PRES
-id-om-r-a	-PFV-1SG-2SG-REM
-id-om-s-a	-PFV-1SG-3SG-REM
-id-or-m-a	-PFV-2SG-1SG-REM
-id-or-s-a	-PFV-2SG-3SG-REM
-id-os-m-a	-PFV-3SG-1SG-REM
-id-os-r-a	-PFV-3SG-2SG-REM
-id-os-s-a	-PFV-3SG-3SG-REM
-id-ēn-m-a	-PFV-1PL-1SG-REM
-id-ēn-r-a	-PFV-1PL-2SG-REM
-id-ēn-s-a	-PFV-1PL-3SG-REM
-id-ēs-m-a	-PFV-2PL-1SG-REM
-id-ēs-r-a	-PFV-2PL-2SG-REM
-id-ēs-s-a	-PFV-2PL-3SG-REM
-id-ed-m-a	-PFV-3PL-1SG-REM
-id-ed-r-a	-PFV-3PL-2SG-REM
-id-ed-s-a	-PFV-3PL-3SG-REM
-id-om-man-a	-PFV-1SG-1PL-REM
-id-om-ran-a	-PFV-1SG-2PL-REM
-id-om-san-a	-PFV-1SG-3PL-REM
-id-or-man-a	-PFV-2SG-1PL-REM
-id-or-ran-a	-PFV-2SG-1PL-REM
-id-or-san-a	-PFV-2SG-3PL-REM
-id-os-man-a	-PFV-3SG-1PL-REM
-id-os-ran-a	-PFV-3SG-2PL-REM
-id-os-san-a	-PFV-3SG-3PL-REM
-id-ēn-man-a	-PFV-1PL-1PL-REM
-id-ēn-ran-a	-PFV-1PL-2PL-REM
-id-ēn-san-a	-PFV-1PL-3PL-REM
-id-ēs-man-a	-PFV-2PL-1PL-REM
-id-ēs-ran-a	-PFV-2PL-2PL-REM
-id-ēs-san-a	-PFV-2PL-3PL-REM
-id-ed-man-a	-PFV-3PL-1PL-REM
-id-ed-ran-a	-PFV-3PL-2PL-REM
-id-ed-san-a	-PFV-3PL-3PL-REM
-ed-om	-PFV-1SG
-ed-or	-PFV-2SG
-ed-a	-PFV-3SG.M
-ed-i	-PFV-3SG.F
-ed-ēn	-PFV-1PL
-ed-ēs	-PFV-2PL
-ed-e	-PFV-3PL
-ed-om-i	-PFV-1SG-PRES
-ed-or-i	-PFV-2SG-PRES
-ed-ēk	-PFV-PRED.SG.M
-ed-ik	-PFV-PRED.SG.F
-ed-ēn-i	-PFV-1PL-PRES
-ed-ēs-i	-PFV-2PL-PRES
-ed-ēd-i	-PFV-3PL-PRES
-ed-om-a	-PFV-1SG-REM
-ed-or-a	-PFV-2SG-REM
-ed-ēy-a	-PFV-3SG.M-REM
-ed-īy-a	-PFV-3SG.F-REM
-ed-ēn-a	-PFV-1PL-REM
-ed-ēs-a	-PFV-2PL-REM
-ed-ēd-a	-PFV-3PL-REM
-ed-om-ir	-PFV-1SG-2SG
-ed-om-is	-PFV-1SG-3SG
-ed-or-im	-PFV-2SG-1SG
-ed-or-is	-PFV-2SG-3SG
-ed-os-im	-PFV-3SG-1SG
-ed-os-ir	-PFV-3SG-2SG
-ed-os-is	-PFV-3SG-3SG
-ed-ēn-im	-PFV-1PL-1SG
-ed-ēn-ir	-PFV-1PL-2SG
-ed-ēn-is	-PFV-1PL-3SG
-ed-ēs-im	-PFV-2PL-1SG
-ed-ēs-ir	-PFV-2PL-2SG
-ed-ēs-is	-PFV-2PL-3SG
-ed-ēd-im	-PFV-3PL-1SG
-ed-ēd-ir	-PFV-3PL-2SG
-ed-ēd-is	-PFV-3PL-3SG
-ed-om-man	-PFV-1SG-1PL
-ed-om-ran	-PFV-1SG-2PL
-ed-om-san	-PFV-1SG-3PL
-ed-or-man	-PFV-2SG-1PL
-ed-or-ran	-PFV-2SG-1PL
-ed-or-san	-PFV-2SG-3PL
-ed-os-man	-PFV-3SG-1PL
-ed-os-ran	-PFV-3SG-2PL
-ed-os-san	-PFV-3SG-3PL
-ed-ēn-man	-PFV-1PL-1PL
-ed-ēn-ran	-PFV-1PL-2PL
-ed-ēn-san	-PFV-1PL-3PL
-ed-ēs-man	-PFV-2PL-1PL
-ed-ēs-ran	-PFV-2PL-2PL
-ed-ēs-san	-PFV-2PL-3PL
-ed-ed-man	-PFV-3PL-1PL
-ed-ed-ran	-PFV-3PL-2PL
-ed-ed-san	-PFV-3PL-3PL
-ed-om-r-i	-PFV-1SG-2SG-PRES
-ed-om-s-i	-PFV-1SG-3SG-PRES
-ed-or-m-i	-PFV-2SG-1SG-PRES
-ed-or-s-i	-PFV-2SG-3SG-PRES
-ed-os-m-i	-PFV-3SG-1SG-PRES
-ed-os-r-i	-PFV-3SG-2SG-PRES
-ed-os-s-i	-PFV-3SG-3SG-PRES
-ed-ēn-m-i	-PFV-1PL-1SG-PRES
-ed-ēn-r-i	-PFV-1PL-2SG-PRES
-ed-ēn-s-i	-PFV-1PL-3SG-PRES
-ed-ēs-m-i	-PFV-2PL-1SG-PRES
-ed-ēs-r-i	-PFV-2PL-2SG-PRES
-ed-ēs-s-i	-PFV-2PL-3SG-PRES
-ed-ed-m-i	-PFV-3PL-1SG-PRES
-ed-ed-r-i	-PFV-3PL-2SG-PRES
-ed-ed-s-i	-PFV-3PL-3SG-PRES
-ed-om-man-i	-PFV-1SG-1PL-PRES
-ed-om-ran-i	-PFV-1SG-2PL-PRES
-ed-om-san-i	-PFV-1SG-3PL-PRES
-ed-or-man-i	-PFV-2SG-1PL-PRES
-ed-or-ran-i	-PFV-2SG-1PL-PRES
-ed-or-san-i	-PFV-2SG-3PL-PRES
-ed-os-man-i	-PFV-3SG-1PL-PRES
-ed-os-ran-i	-PFV-3SG-2PL-PRES
-ed-os-san-i	-PFV-3SG-3PL-PRES
-ed-ēn-man-i	-PFV-1PL-1PL-PRES
-ed-ēn-ran-i	-PFV-1PL-2PL-PRES
-ed-ēn-san-i	-PFV-1PL-3PL-PRES
-ed-ēs-man-i	-PFV-2PL-1PL-PRES
-ed-ēs-ran-i	-PFV-2PL-2PL-PRES
-ed-ēs-san-i	-PFV-2PL-3PL-PRES
-ed-ed-man-i	-PFV-3PL-1PL-PRES
-ed-ed-ran-i	-PFV-3PL-2PL-PRES
-ed-ed-san-i	-PFV-3PL-3PL-PRES
-ed-om-r-a	-PFV-1SG-2SG-REM
-ed-om-s-a	-PFV-1SG-3SG-REM
-ed-or-m-a	-PFV-2SG-1SG-REM
-ed-or-s-a	-PFV-2SG-3SG-REM
-ed-os-m-a	-PFV-3SG-1SG-REM
-ed-os-r-a	-PFV-3SG-2SG-REM
-ed-os-s-a	-PFV-3SG-3SG-REM
-ed-ēn-m-a	-PFV-1PL-1SG-REM
-ed-ēn-r-a	-PFV-1PL-2SG-REM
-ed-ēn-s-a	-PFV-1PL-3SG-REM
-ed-ēs-m-a	-PFV-2PL-1SG-REM
-ed-ēs-r-a	-PFV-2PL-2SG-REM
-ed-ēs-s-a	-PFV-2PL-3SG-REM
-ed-ed-m-a	-PFV-3PL-1SG-REM
-ed-ed-r-a	-PFV-3PL-2SG-REM
-ed-ed-s-a	-PFV-3PL-3SG-REM
-ed-om-man-a	-PFV-1SG-1PL-REM
-ed-om-ran-a	-PFV-1SG-2PL-REM
-ed-om-san-a	-PFV-1SG-3PL-REM
-ed-or-man-a	-PFV-2SG-1PL-REM
-ed-or-ran-a	-PFV-2SG-1PL-REM
-ed-or-san-a	-PFV-2SG-3PL-REM
-ed-os-man-a	-PFV-3SG-1PL-REM
-ed-os-ran-a	-PFV-3SG-2PL-REM
-ed-os-san-a	-PFV-3SG-3PL-REM
-ed-ēn-man-a	-PFV-1PL-1PL-REM
-ed-ēn-ran-a	-PFV-1PL-2PL-REM
-ed-ēn-san-a	-PFV-1PL-3PL-REM
-ed-ēs-man-a	-PFV-2PL-1PL-REM
